sample_index,sentinel2_l2a,sentinel1,landsat
2506,1,1,1
1169,1,1,1
2842,1,1,1
3753,1,1,1
2011,1,1,1
819,1,1,1
502,1,1,1
555,1,1,1
3493,1,1,1
303,1,1,1
1851,1,1,1
707,1,1,1
3680,1,1,1
2921,1,1,1
1823,1,1,1
359,1,1,1
3319,1,1,1
2793,1,1,1
3963,1,1,1
3463,1,1,1
1309,1,1,1
2735,1,1,1
1423,1,1,1
2906,1,1,1
265,1,1,1
2252,1,1,1
2220,1,1,1
1189,1,1,1
3650,1,1,1
1228,1,1,1
3487,1,1,1
645,1,1,1
2915,1,1,1
3972,1,1,1
3798,1,1,1
2868,1,1,1
2612,1,1,1
713,1,1,1
3250,1,1,1
1480,1,1,1
2083,1,1,1
918,1,1,1
497,1,1,1
823,1,1,1
3244,1,1,1
568,1,1,1
969,1,1,1
3237,1,1,1
2023,1,1,1
107,1,1,1
1478,1,1,1
2269,1,1,1
2344,1,1,1
1511,1,1,1
1914,1,1,1
3291,1,1,1
2259,1,1,1
531,1,1,1
3995,1,1,1
3621,1,1,1
353,1,1,1
269,1,1,1
1266,1,1,1
1630,1,1,1
2936,1,1,1
2944,1,1,1
1960,1,1,1
2153,1,1,1
1682,1,1,1
3150,1,1,1
1677,1,1,1
3372,1,1,1
2354,1,1,1
302,1,1,1
513,1,1,1
1298,1,1,1
2631,1,1,1
3986,1,1,1
1843,1,1,1
1908,1,1,1
2785,1,1,1
2119,1,1,1
1411,1,1,1
525,1,1,1
3596,1,1,1
3395,1,1,1
3195,1,1,1
2258,1,1,1
2620,1,1,1
2407,1,1,1
745,1,1,1
3144,1,1,1
528,1,1,1
1772,1,1,1
2059,1,1,1
3730,1,1,1
3556,1,1,1
226,1,1,1
3405,1,1,1
508,1,1,1
2122,1,1,1
626,1,1,1
1245,1,1,1
674,1,1,1
663,1,1,1
1321,1,1,1
3828,1,1,1
2905,1,1,1
923,1,1,1
1417,1,1,1
3880,1,1,1
3853,1,1,1
2125,1,1,1
3665,1,1,1
1163,1,1,1
3464,1,1,1
323,1,1,1
1026,1,1,1
804,1,1,1
2601,1,1,1
2256,1,1,1
1124,1,1,1
512,1,1,1
2560,1,1,1
1240,1,1,1
2516,1,1,1
2185,1,1,1
382,1,1,1
2058,1,1,1
2625,1,1,1
690,1,1,1
2424,1,1,1
3856,1,1,1
2378,1,1,1
631,1,1,1
701,1,1,1
2698,1,1,1
2557,1,1,1
2951,1,1,1
3694,1,1,1
2478,1,1,1
1382,1,1,1
3451,1,1,1
3784,1,1,1
2308,1,1,1
168,1,1,1
3380,1,1,1
3538,1,1,1
116,1,1,1
332,1,1,1
186,1,1,1
2627,1,1,1
3158,1,1,1
2362,1,1,1
1084,1,1,1
2667,1,1,1
863,1,1,1
3141,1,1,1
2343,1,1,1
1706,1,1,1
2531,1,1,1
2617,1,1,1
124,1,1,1
2039,1,1,1
3641,1,1,1
2568,1,1,1
2234,1,1,1
1186,1,1,1
2629,1,1,1
1237,1,1,1
1978,1,1,1
1003,1,1,1
3296,1,1,1
3306,1,1,1
2805,1,1,1
1663,1,1,1
1218,1,1,1
1857,1,1,1
298,1,1,1
2820,1,1,1
245,1,1,1
647,1,1,1
1800,1,1,1
1702,1,1,1
1983,1,1,1
1902,1,1,1
835,1,1,1
1393,1,1,1
2484,1,1,1
588,1,1,1
1280,1,1,1
3528,1,1,1
2942,1,1,1
1307,1,1,1
3007,1,1,1
3525,1,1,1
1414,1,1,1
1633,1,1,1
535,1,1,1
3115,1,1,1
1517,1,1,1
2109,1,1,1
2300,1,1,1
434,1,1,1
3802,1,1,1
990,1,1,1
1910,1,1,1
501,1,1,1
1095,1,1,1
1841,1,1,1
1015,1,1,1
577,1,1,1
396,1,1,1
